iter	Passed	Remaining
0	132	6490
1	133	3192
2	133	2094
3	134	1542
4	134	1212
5	135	991
6	135	833
7	136	717
8	137	625
9	137	551
10	138	490
11	138	439
12	139	396
13	140	360
14	140	328
15	141	299
16	141	275
17	142	252
18	142	232
19	143	215
20	144	199
21	144	184
22	145	170
23	145	158
24	146	146
25	147	135
26	147	125
27	148	116
28	148	107
29	149	99
30	150	92
31	150	84
32	151	77
33	151	71
34	152	65
35	153	59
36	153	53
37	154	48
38	154	43
39	155	38
40	156	34
41	156	29
42	157	25
43	157	21
44	158	17
45	158	13
46	159	10
47	160	6
48	160	3
49	161	0
